swatch,axis,angle_deg,tx,rx,range_m,power_db,delta_power_db_vs_baseline,phase_deg,phase_shift_vs_baseline_deg,snr_db,n_repeats,n_loops_total,coherence_within_file,coherence_across_repeats
pc_stock,boresight,0.0,1,3,1.78,60.27,-15.66,42.69,177.84,-16.37,3,1080,0.2619,0.998
pc_stock,boresight,0.0,2,0,1.78,61.83,-9.76,-98.72,39.46,-16.37,3,1080,0.371,0.9424
pc_stock,boresight,0.0,2,1,1.78,60.53,-8.6,-164.38,2.9,-16.37,3,1080,0.2569,0.9693
pc_stock,boresight,0.0,2,2,1.78,60.14,-9.47,42.49,-164.43,-16.37,3,1080,0.2694,0.7384
pc_stock,boresight,0.0,2,3,1.78,58.44,-15.96,-81.71,67.0,-16.37,3,1080,0.2192,0.8998
pc_stock_run_2,boresight,0.0,0,0,1.78,61.74,-9.25,179.43,-42.28,-14.98,3,1080,0.359,0.8939
pc_stock_run_2,boresight,0.0,0,1,1.78,53.46,-20.19,16.65,150.63,-14.98,3,1080,0.2809,0.4338
pc_stock_run_2,boresight,0.0,0,2,1.78,66.55,-5.36,-68.59,72.94,-14.98,3,1080,0.44,0.9806
pc_stock_run_2,boresight,0.0,0,3,1.78,62.13,-11.35,176.01,-47.83,-14.98,3,1080,0.3331,0.9358
pc_stock_run_2,boresight,0.0,1,0,1.78,61.33,-12.91,33.31,165.1,-14.98,3,1080,0.3866,0.5976
pc_stock_run_2,boresight,0.0,1,1,1.78,65.38,-8.3,-70.86,76.36,-14.98,3,1080,0.4399,0.9966
pc_stock_run_2,boresight,0.0,1,2,1.78,51.6,-19.43,64.49,-151.26,-14.98,3,1080,0.4139,0.1905
pc_stock_run_2,boresight,0.0,1,3,1.78,63.83,-12.1,0.98,136.13,-14.98,3,1080,0.4842,0.7783
pc_stock_run_2,boresight,0.0,2,0,1.78,61.5,-10.09,-89.84,48.35,-14.98,3,1080,0.4602,0.7296
pc_stock_run_2,boresight,0.0,2,1,1.78,58.18,-10.96,-87.75,79.53,-14.98,3,1080,0.1791,0.942
pc_stock_run_2,boresight,0.0,2,2,1.78,61.55,-8.06,9.84,162.92,-14.98,3,1080,0.3717,0.6765
pc_stock_run_2,boresight,0.0,2,3,1.78,61.37,-13.03,-64.84,83.87,-14.98,3,1080,0.3182,0.9896
petg_rect_1,boresight,0.0,0,0,1.78,71.04,0.04,-30.51,107.78,-11.84,3,1080,0.4415,0.9114
petg_rect_1,boresight,0.0,0,1,1.78,69.02,-4.63,-170.65,-36.66,-11.84,3,1080,0.3389,0.9837
petg_rect_1,boresight,0.0,0,2,1.78,62.09,-9.82,73.6,-144.87,-11.84,3,1080,0.173,0.8824
petg_rect_1,boresight,0.0,0,3,1.78,66.5,-6.98,164.97,-58.88,-11.84,3,1080,0.2835,0.8276
petg_rect_1,boresight,0.0,1,0,1.78,66.52,-7.73,-28.76,103.02,-11.84,3,1080,0.2665,0.8542
petg_rect_1,boresight,0.0,1,1,1.78,71.63,-2.05,123.99,-88.78,-11.84,3,1080,0.4323,0.9584
petg_rect_1,boresight,0.0,1,2,1.78,62.36,-8.67,33.29,177.55,-11.84,3,1080,0.3352,0.5014
petg_rect_1,boresight,0.0,1,3,1.78,62.26,-13.67,-85.35,49.81,-11.84,3,1080,0.2218,0.7013
petg_rect_1,boresight,0.0,2,0,1.78,68.26,-3.33,30.46,168.65,-11.84,3,1080,0.3347,0.7739
petg_rect_1,boresight,0.0,2,1,1.78,67.28,-1.85,17.99,-174.73,-11.84,3,1080,0.2712,0.9593
petg_rect_1,boresight,0.0,2,2,1.78,69.01,-0.6,-46.34,106.74,-11.84,3,1080,0.3688,0.9474
petg_rect_1,boresight,0.0,2,3,1.78,67.9,-6.5,149.75,-61.54,-11.84,3,1080,0.3382,0.9771
petg_rect_1_run_2,boresight,0.0,0,0,1.78,67.16,-3.83,-77.47,60.82,-10.72,3,1080,0.2681,0.988
petg_rect_1_run_2,boresight,0.0,0,1,1.78,63.83,-9.82,-165.53,-31.55,-10.72,3,1080,0.5475,0.3954
petg_rect_1_run_2,boresight,0.0,0,2,1.78,63.85,-8.06,23.2,164.73,-10.72,3,1080,0.3575,0.5456
petg_rect_1_run_2,boresight,0.0,0,3,1.78,54.38,-19.1,114.93,-108.91,-10.72,3,1080,0.4721,0.1196
petg_rect_1_run_2,boresight,0.0,1,0,1.78,68.49,-5.76,-71.51,60.28,-10.72,3,1080,0.4751,0.6027
petg_rect_1_run_2,boresight,0.0,1,1,1.78,66.02,-7.66,-172.67,-25.45,-10.72,3,1080,0.2474,0.9963
petg_rect_1_run_2,boresight,0.0,1,2,1.78,67.66,-3.37,47.56,-168.19,-10.72,3,1080,0.3489,0.9795
petg_rect_1_run_2,boresight,0.0,1,3,1.78,64.22,-11.72,-79.64,55.51,-10.72,3,1080,0.2375,0.7884
petg_rect_1_run_2,boresight,0.0,2,0,1.78,62.4,-9.19,37.01,175.19,-10.72,3,1080,0.4863,0.2762
petg_rect_1_run_2,boresight,0.0,2,1,1.78,53.89,-15.24,24.12,-168.6,-10.72,3,1080,0.3205,0.2307
petg_rect_1_run_2,boresight,0.0,2,2,1.78,69.91,0.3,-60.57,92.51,-10.72,3,1080,0.4348,0.9405
petg_rect_1_run_2,boresight,0.0,2,3,1.78,65.55,-8.85,130.95,-80.34,-10.72,3,1080,0.245,0.9262
petg_rect_2,boresight,0.0,0,0,1.78,69.81,-1.18,123.37,-98.34,-8.24,3,1080,0.5354,0.8192
petg_rect_2,boresight,0.0,0,1,1.78,61.33,-12.32,-56.86,77.12,-8.24,3,1080,0.3543,0.4207
petg_rect_2,boresight,0.0,0,2,1.78,66.9,-5.01,117.96,-100.51,-8.24,3,1080,0.4674,0.7488
petg_rect_2,boresight,0.0,0,3,1.78,71.39,-2.09,69.58,-154.26,-8.24,3,1080,0.532,0.9026
petg_rect_2,boresight,0.0,1,0,1.78,61.66,-12.58,24.21,155.99,-8.24,3,1080,0.4619,0.4077
petg_rect_2,boresight,0.0,1,1,1.78,60.42,-13.27,176.11,-36.66,-8.24,3,1080,0.3833,0.4094
petg_rect_2,boresight,0.0,1,2,1.78,73.7,2.67,63.23,-152.52,-8.24,3,1080,0.6812,0.9942
petg_rect_2,boresight,0.0,1,3,1.78,67.84,-8.09,-9.41,125.74,-8.24,3,1080,0.4381,0.7912
petg_rect_2,boresight,0.0,2,0,1.78,71.87,0.28,140.56,-81.26,-8.24,3,1080,0.5617,0.819
petg_rect_2,boresight,0.0,2,1,1.78,71.49,2.35,31.95,-160.77,-8.24,3,1080,0.5812,0.9726
petg_rect_2,boresight,0.0,2,2,1.78,68.23,-1.38,16.75,169.83,-8.24,3,1080,0.4276,0.8058
petg_rect_2,boresight,0.0,2,3,1.78,68.1,-6.3,143.65,-67.64,-8.24,3,1080,0.4178,0.9615
petg_rect_2_90offset,boresight,0.0,0,0,1.78,64.03,-6.96,-127.66,10.63,-7.46,3,1080,0.4926,0.5529
petg_rect_2_90offset,boresight,0.0,0,1,1.78,70.91,-2.75,-132.25,1.73,-7.46,3,1080,0.6738,0.9008
petg_rect_2_90offset,boresight,0.0,0,2,1.78,66.27,-5.64,176.41,-42.06,-7.46,3,1080,0.6604,0.5954
petg_rect_2_90offset,boresight,0.0,0,3,1.78,56.63,-16.85,-136.88,-0.72,-7.46,3,1080,0.4822,0.2638
petg_rect_2_90offset,boresight,0.0,1,0,1.78,61.05,-13.19,-177.7,-45.91,-7.46,3,1080,0.5574,0.5302
petg_rect_2_90offset,boresight,0.0,1,1,1.78,67.68,-6.0,107.82,-104.96,-7.46,3,1080,0.592,0.7088
petg_rect_2_90offset,boresight,0.0,1,2,1.78,66.59,-4.44,75.57,-140.18,-7.46,3,1080,0.5077,0.8478
petg_rect_2_90offset,boresight,0.0,1,3,1.78,58.55,-17.38,113.93,-110.92,-7.46,3,1080,0.4714,0.4588
petg_rect_2_90offset,boresight,0.0,2,0,1.78,66.06,-5.53,-148.28,-10.1,-7.46,3,1080,0.6488,0.6344
petg_rect_2_90offset,boresight,0.0,2,1,1.78,60.29,-8.84,-113.93,53.35,-7.46,3,1080,0.5205,0.3494
petg_rect_2_90offset,boresight,0.0,2,2,1.78,64.57,-5.04,-99.59,53.49,-7.46,3,1080,0.5332,0.5695
petg_rect_2_90offset,boresight,0.0,2,3,1.78,66.64,-7.76,176.25,-35.04,-7.46,3,1080,0.6538,0.6219
petg_rect_2_run_2,boresight,0.0,0,0,1.78,66.53,-4.46,4.83,143.12,-11.96,3,1080,0.333,0.7154
petg_rect_2_run_2,boresight,0.0,0,1,1.78,63.86,-9.79,-125.63,8.35,-11.96,3,1080,0.3656,0.6762
petg_rect_2_run_2,boresight,0.0,0,2,1.78,60.35,-11.56,115.66,-102.81,-11.96,3,1080,0.2651,0.6062
petg_rect_2_run_2,boresight,0.0,0,3,1.78,60.44,-13.04,163.36,-60.48,-11.96,3,1080,0.2622,0.5859
petg_rect_2_run_2,boresight,0.0,1,0,1.78,60.26,-13.98,-51.8,79.99,-11.96,3,1080,0.3519,0.5335
petg_rect_2_run_2,boresight,0.0,1,1,1.78,67.99,-5.69,170.35,-42.42,-11.96,3,1080,0.3637,0.9463
petg_rect_2_run_2,boresight,0.0,1,2,1.78,64.66,-6.37,71.25,-144.49,-11.96,3,1080,0.2691,0.9134
petg_rect_2_run_2,boresight,0.0,1,3,1.78,54.42,-21.51,-148.6,-13.44,-11.96,3,1080,0.2253,0.3482
petg_rect_2_run_2,boresight,0.0,2,0,1.78,61.18,-10.41,3.38,141.57,-11.96,3,1080,0.296,0.4477
petg_rect_2_run_2,boresight,0.0,2,1,1.78,66.34,-2.79,56.35,-136.37,-11.96,3,1080,0.3729,0.766
petg_rect_2_run_2,boresight,0.0,2,2,1.78,71.2,1.59,-29.47,123.61,-11.96,3,1080,0.5202,0.8924
petg_rect_2_run_2,boresight,0.0,2,3,1.78,69.45,-4.95,175.81,-35.48,-11.96,3,1080,0.4493,0.9469
